generator1;generator2;generator3;generator4;5_6;5_8;5_9;6_7;7_8;external1;consumer1;8_9;consumer2;external2;convergence
109.0;560.0;480.0;168.0;-254.78481969413951;151.40193608876538;212.38288320496002;305.215178087251;100.97160029204628;435.3163708251872;248.9272066209446;60.98093943859812;359.3925965530237;273.36382199554674;[ True]
161.0;560.0;580.0;178.0;-248.78898003854684;156.95611943261102;252.83286005756497;311.2110174680944;94.53408760508177;539.1204128275658;257.55651656057984;95.8767336130391;333.6134729011428;348.70959286553267;[ True]
123.0;500.0;620.0;124.0;-244.75734516475342;152.99548224497488;214.761862486331;255.2426526784829;142.510125064806;480.8047370630428;251.9277900938981;61.766382865783406;357.73922407639367;276.52824469737067;[ True]
115.0;420.0;620.0;184.0;-208.72055096550733;115.26428306246453;208.45626743297947;211.27944696523718;112.70535820322159;507.5456558275795;211.02843242401485;93.19199763753672;318.77764317405405;301.6482643730749;[ True]
190.0;500.0;380.0;121.0;-197.25079060687904;161.39020969245863;225.86058042082803;302.74920728514155;55.89180321967029;410.69305529408746;216.1643484544917;64.47034502589004;273.8116674717483;290.33092478164264;[ True]
132.0;540.0;320.0;198.0;-216.09144155659092;129.48190586349685;218.6095352356435;323.9085562182546;21.664783002623683;418.52967374502157;203.71409917914195;89.12763239931309;260.01905596400246;307.7371669292512;[ True]
182.0;540.0;440.0;135.0;-230.42203289811263;168.29109964059117;244.13093272974984;309.5779647666101;89.13520676724765;484.9457486990853;175.4970088886435;75.8398079347945;316.58649801703257;319.97073992590305;[ True]
158.0;520.0;320.0;152.0;-210.79803939048665;169.47111141781082;199.32692759224807;309.2019586771541;71.06714729297647;330.10575949312044;228.0290516754855;29.855818100087014;362.6824403198603;229.18274515214853;[ True]
117.0;520.0;500.0;100.0;-240.20931385497803;144.93949560869646;212.2698178231619;279.7906839760949;105.35806432539651;452.2886149378405;222.144004321966;67.33034521870995;282.96721431588315;279.60016238407786;[ True]
135.0;420.0;680.0;194.0;-209.33569386259555;125.9038382242685;218.4318551365269;210.6643040230228;124.57520005848744;528.0630651794046;238.02603824280163;92.52802051993832;351.95101730821403;310.95987493873355;[ True]
171.0;540.0;680.0;178.0;-251.75942027225997;144.9738076244358;277.7856119985106;288.24057702173536;108.4925661961907;651.9018820347662;207.84612815668117;132.81183421974185;298.6545389583572;410.597445280208;[ True]
129.0;460.0;400.0;101.0;-203.36032068502635;140.4838579798757;191.87646231642367;256.63967742233916;87.20452174385053;381.8661746390277;187.56898072103303;51.39259085201324;277.29578853782573;243.26905259841155;[ True]
170.0;420.0;620.0;130.0;-196.89046077431283;122.10327149950409;244.78718866946446;223.10953692972274;95.88414175741072;586.0392133263357;161.1861812477265;122.68391347435774;225.3034992093784;367.47110131175947;[ True]
155.0;400.0;540.0;190.0;-174.16871885851143;100.23855941681437;228.93015886751544;225.83127896933362;48.57602639412384;534.8894471060457;182.36580495260392;128.69161967621866;210.1229655407809;357.62177774103486;[ True]
183.0;400.0;420.0;198.0;-162.53096379694063;120.16215175804469;225.3688114800412;237.4690341429296;45.224116619779814;481.00623855159665;131.2386785260447;105.20666312317756;258.1796047322559;330.57547386171575;[ True]
107.0;500.0;580.0;100.0;-248.9993836476853;120.89887942263044;235.10050370669487;251.00061393793828;118.89771569948721;582.4014185701632;129.70147909575732;114.2015975314373;225.59499704369617;349.3021004289067;[ True]
196.0;440.0;420.0;137.0;-176.99375050522616;136.18700830291115;236.80674162872856;263.0062473281385;50.17448415246933;488.22067781938483;144.6110849175074;100.6197204283507;222.74177150534283;337.4264612974155;[ True]
194.0;460.0;420.0;190.0;-178.48911994033946;136.0801817573103;236.4089376182871;281.5108778748698;33.05845901643852;470.12481357566946;198.32760488551892;100.32872346686226;258.80991677664355;336.73766032768555;[ True]
171.0;420.0;580.0;170.0;-191.6936053149358;141.58971549153082;221.10388930960843;228.30639263683446;104.97688099458547;485.1090914469932;218.2204197195863;79.51415315928962;337.0524429023136;300.61804177960784;[ True]
196.0;460.0;320.0;103.0;-176.95442622378502;177.97480558262347;194.97962024338472;283.04557203072625;71.8836439018602;300.8728902801813;230.28903764374317;17.004811521754732;335.8536377241965;211.9844312706277;[ True]
100.0;560.0;560.0;194.0;-265.59458079380903;135.8783980038917;229.71618232540246;294.4054167866737;107.06761012860636;524.4593760582738;222.87843013421315;93.83776395711511;343.1082436782085;323.5539455245675;[ True]
198.0;400.0;580.0;102.0;-181.3927272814611;161.99456070043703;217.3981660772129;218.60727079926457;124.7800205772361;452.9853731174646;220.8418766502715;55.40357786679159;333.37100307176416;272.80174331564154;[ True]
191.0;400.0;660.0;155.0;-184.09175281326267;141.69408939528861;233.39766284904843;215.90824508086854;109.87757506034069;526.6823582335021;239.34831124765125;91.703582105037;314.86808188650963;325.1012442147507;[ True]
132.0;460.0;480.0;191.0;-204.11666734921138;136.03602759140466;200.08063933778578;255.88333068149987;84.26936983529502;412.43921619262085;239.174744298246;64.04461651095852;347.26078053732766;264.12525523447164;[ True]
179.0;400.0;500.0;191.0;-168.8257246278745;131.2978917769557;216.52783233180062;231.1742733972255;68.94933848695969;455.93706474394617;206.28786973902473;85.22994377722013;306.01728603870015;301.7577754255326;[ True]
178.0;500.0;420.0;196.0;-200.1690132119801;136.75176978931256;241.4172428639327;299.8309844834756;37.08980262436291;487.8380122014086;194.90316925338246;104.66546372764051;265.1761081338076;346.08270580828497;[ True]
107.0;560.0;320.0;116.0;-238.8288631749771;148.55082612352896;197.27803669711798;321.1711347479292;66.20853299278662;360.9409916838108;214.02160983582183;48.7272017618099;282.0321569997392;246.00523787527598;[ True]
190.0;420.0;440.0;137.0;-177.92724478823956;161.51535977001714;206.4118845592439;242.07275336423686;97.3698819275292;393.57473712644463;191.1281339553373;44.896506736302605;350.98873464764887;251.30839071537636;[ True]
119.0;400.0;380.0;120.0;-179.71277577796815;136.91758099173666;161.7951944739519;220.28722265139814;96.34315578111796;307.8935527785057;196.0505138341476;24.87759653352237;328.3831400191648;186.672790562714;[ True]
189.0;460.0;400.0;114.0;-186.9616770461055;163.45330843981918;212.50836814371002;273.0383210108024;77.37672274360497;387.9950915822947;207.6665063664212;49.055023716157656;305.775007122815;261.563391256999;[ True]
156.0;400.0;320.0;121.0;-159.5714343662049;141.66271551251958;173.90871848941163;240.4285640315381;60.805594086313896;299.20633172812126;200.41663799179904;32.246021018011234;291.22228831753534;206.1547390294273;[ True]
160.0;560.0;460.0;120.0;-243.3563843545628;163.10820806843867;240.24817578340716;316.6436132773585;89.82094450354799;484.34909638046463;202.47357199037225;77.13996080770035;295.789191303743;317.38813585423384;[ True]
154.0;560.0;580.0;139.0;-255.0830879400428;150.25425090821398;258.8288364619908;304.9169094873798;100.42045216161348;576.3984284366594;208.0980283635239;108.5745967357658;281.1001057705701;367.40343235085504;[ True]
125.0;440.0;300.0;196.0;-176.56551804475762;112.78257871274357;188.78293892364638;263.4344800822533;25.913615417038496;366.6972659951078;170.82359839612445;76.00034690228546;258.6958468034257;264.78328522080045;[ True]
141.0;580.0;540.0;142.0;-263.7257076528353;138.02469663363414;266.70101042669313;316.27428964214147;85.47610884557811;609.5297094753656;161.26847077073484;128.67630802516376;236.82449681608918;395.37731754408827;[ True]
