0;1;2;3;4;5
-2.3;-2.3;-2.3;-2.3;-2.3;-2.3
-2.05;-2.05;-2.05;-2.05;-2.05;-2.05
-2.3333333333333335;-2.3333333333333335;-2.3333333333333335;-2.3333333333333335;-2.3333333333333335;-2.3333333333333335
-2.325;-2.325;-2.325;-2.325;-2.325;-2.325
-2.2600000000000002;-2.2600000000000002;-2.2600000000000002;-2.2600000000000002;-2.2600000000000002;-2.2600000000000002
-2.2833333333333337;-2.2;-2.2;-2.2;-2.2;-2.2833333333333337
-2.3142857142857145;-2.0142857142857147;-2.0142857142857147;-2.0142857142857147;-2.0142857142857147;-2.3142857142857145
-2.1875;-2.25;-2.25;-2.25;-2.25;-2.1875
-2.3111111111111113;-2.2;-2.2;-2.2;-2.2;-2.3111111111111113
-2.2800000000000002;-2.17;-2.17;-2.17;-2.17;-2.2800000000000002
-2.2545454545454544;-2.1545454545454543;-2.1545454545454543;-2.1545454545454543;-2.1545454545454543;-2.2545454545454544
-2.225;-2.1333333333333333;-2.1333333333333333;-2.1333333333333333;-2.1333333333333333;-2.225
-2.207692307692308;-2.223076923076923;-2.223076923076923;-2.223076923076923;-2.223076923076923;-2.207692307692308
-2.2285714285714286;-2.2785714285714285;-2.2785714285714285;-2.2785714285714285;-2.2785714285714285;-2.2285714285714286
-2.2133333333333334;-2.26;-2.26;-2.26;-2.26;-2.2133333333333334
-2.25;-2.25;-2.25;-2.25;-2.2874999999999996;-2.25
-2.2764705882352945;-2.164705882352941;-2.164705882352941;-2.164705882352941;-2.1999999999999993;-2.2764705882352945
-2.244444444444445;-2.161111111111111;-2.1277777777777778;-2.161111111111111;-2.155555555555555;-2.244444444444445
-2.2210526315789476;-2.1684210526315786;-2.1368421052631574;-2.1684210526315786;-2.11578947368421;-2.2210526315789476
-2.205;-2.1599999999999997;-2.085;-2.1599999999999997;-2.0749999999999993;-2.205
-2.1714285714285717;-2.176190476190476;-2.1047619047619044;-2.176190476190476;-2.166666666666666;-2.1714285714285717
-2.1636363636363636;-2.190909090909091;-2.1772727272727272;-2.190909090909091;-2.154545454545454;-2.1636363636363636
-2.1565217391304348;-2.160869565217391;-2.1652173913043478;-2.160869565217391;-2.1521739130434776;-2.1565217391304348
-2.1583333333333337;-2.154166666666667;-2.1375;-2.154166666666667;-2.158333333333333;-2.1583333333333337
-2.172;-2.144;-2.148;-2.144;-2.0679999999999996;-2.148
-2.126923076923077;-2.1384615384615384;-2.103846153846154;-2.1384615384615384;-2.042307692307692;-2.103846153846154
-2.1222222222222222;-2.1333333333333333;-2.1296296296296298;-2.1333333333333333;-2.0259259259259257;-2.1
-2.117857142857143;-2.132142857142857;-2.1035714285714286;-2.132142857142857;-2.0107142857142857;-2.0964285714285715
-2.113793103448276;-2.0965517241379312;-2.089655172413793;-2.0965517241379312;-1.993103448275862;-2.0931034482758624
-2.1100000000000003;-2.0300000000000002;-2.033333333333333;-2.0300000000000002;-1.9133333333333333;-2.0900000000000003
-2.1193548387096777;-2.0193548387096776;-2.0193548387096776;-2.0193548387096776;-1.8870967741935485;-2.1
-2.1125;-2.034375;-2.003125;-2.034375;-1.821875;-2.09375
-2.106060606060606;-1.9696969696969697;-1.9333333333333333;-1.9696969696969697;-1.6848484848484846;-2.087878787878788
-2.144117647058824;-1.6911764705882357;-1.9088235294117644;-1.6911764705882357;-1.614705882352941;-2.1264705882352946
-2.1171428571428574;-1.6600000000000004;-1.8885714285714283;-1.6600000000000004;-1.5457142857142856;-2.1000000000000005
-2.091666666666667;-1.6583333333333339;-1.8138888888888889;-1.6583333333333339;-1.5583333333333331;-2.063888888888889
-2.102702702702703;-1.613513513513514;-1.7216216216216216;-1.613513513513514;-1.5702702702702702;-2.075675675675676
